0.0 0.0023794467925755338 239
4332027.970084369 1.3370878169534812e+16 -2801404907269.9595 3771057680.7939014
4369307.555822698 1.2521502789025038e+16 -2659830276731.181 3719252896.1702166
4406084.575729302 1.1400561333555742e+16 -2524008225683.265 3670014534.2117906
4442383.742535132 1.0640297747794056e+16 -2402936945980.882 3623147299.4070706
4478227.556654849 9555644088893902.0 -2286205155111.616 3578464728.9018044
4513637.018029108 8907099324964946.0 -2184613839475.0366 3535783956.645981
4548630.985900718 7892381630080360.0 -2085833773849.8916 3494933190.0291815
4583227.039529365 7367857212419902.0 -2002036367579.1594 3455747568.412269
4617440.7555041425 6433586218417647.0 -1919381671628.0557 3418074523.908522
4651286.67520048 6057549063748087.0 -1851586121445.1248 3381769462.414581
4684777.496094706 5234932102306089.0 -1783088259599.8457 3346702507.7117743
4717925.173507419 5032033191434640.0 -1728950060591.9807 3312754850.5991898
4750740.0392231345 4361149333829500.5 -1672172706279.571 3279824843.1371293
4783232.024580325 4395093849674476.5 -1629091728769.2332 3247825876.994549
4815409.736845382 3992124342683050.5 -1581322956950.7964 3216694819.4852066
4847281.850278387 4470677451375692.0 -1546342388736.5952 3186395093.2814775
4878856.243829373 4455087763553348.5 -1501677811519.002 3156934190.1419907
4910141.740931989 4210364339969835.0 -1454887223004.5872 3128357998.4621954
4941147.134251707 4052130764286136.0 -1411394142257.9111 3100640716.3094597
4971880.733462128 3747734882124054.5 -1368021241188.201 3073742403.0550046
5002350.535943361 3550174021614139.5 -1328742490976.6042 3047617203.405408
5032563.93831268 3217522590839812.5 -1290085685249.4004 3022215363.992547
5062527.947276621 2997927046403133.5 -1255866272183.8088 2997484330.7912064
5092248.91301307 2656594158834268.0 -1222621120135.8542 2973369365.7239456
5121732.7523010075 2450310327747891.5 -1194118752559.8953 2949814870.2174315
5150984.70825684 2124289159185441.2 -1166478028400.791 2926766565.139865
5180009.616870374 1943035695377552.5 -1143524404972.1396 2904171689.039214
5208811.670688413 1629340771245571.0 -1121056746251.223 2881979961.4443197
5237394.704531677 1469471306447580.0 -1103243647684.7112 2860142323.6470227
5265761.934105245 1189049146843094.2 -1085821980759.4115 2838611836.4962583
5293916.259592079 1073692203983012.6 -1072835516799.806 2817344858.7986574
5321860.027727401 833220472694223.2 -1059751905248.7684 2796302161.3902173
5349595.357575275 761310341465824.5 -1050740565866.4966 2775448474.946894
5377123.893599126 570159556905935.8 -1041258011174.5388 2754752836.542047
5404447.138338859 549902089015748.6 -1035379911191.5432 2734189171.883872
5431566.217074722 406307610787257.1 -1028475567331.2828 2713736526.432437
5458482.215106347 435403813055847.75 -1024720109272.1951 2693378659.373545
5485195.934331942 342867835652348.75 -1019464022907.8292 2673104221.7713437
5511708.234074664 416040696709084.9 -1016778981726.7473 2652906925.549157
5538019.791026497 359213718470452.6 -1012071184770.759 2632784851.4574294
5564131.426295098 480842189930034.2 -1009705823038.6755 2612739619.6810412
5590043.848833067 479223798544021.7 -1004902520600.4412 2592777653.26858
5615758.007641804 660000761864032.5 -1001931230370.9752 2572910847.479505
5641274.848528614 715637502224553.8 -995914276260.0171 2553156960.302952
5666595.674086447 959321966410010.8 -991215585286.8296 2533539424.790074
5691721.8967142245 1077433000045715.1 -982840620199.5272 2514087909.310294
5716655.409752232 1368738199906793.5 -975014054204.9608 2494838274.612275
5741398.339647453 1512202812808220.5 -962815421122.7428 2475831101.5565753
5765953.387773634 1815973227218103.8 -950784456292.6068 2457109484.0210223
5790323.538649635 1930127544374461.5 -933841412162.5327 2438717751.4209986
5814512.376322719 2200667167852355.0 -917318813186.009 2420697327.969488
