0.0 0.0022614762858167016 233
760160.9995385358 1446740872546685.8 -608070947738.5876 734540882.7139671
767234.424609609 1348510994964939.0 -593075605619.7174 723145991.8659765
774198.5747470191 1249182682685325.8 -579023012233.4379 712014426.6773355
781055.9159494387 1189934952232884.0 -566323508581.2822 701127576.2524713
787808.7325755779 1138620133563570.0 -554276053981.8381 690470501.9944389
794459.2006388496 1139840728713696.8 -543236560060.7195 680032788.3995459
801009.4023141477 1182057803786707.0 -532583127170.32874 669809716.3601545
807461.4220084471 1176729479883219.2 -521058468072.134 659805377.9057827
813817.4213303559 1186509645685820.8 -509732166782.2437 650023248.1274724
820079.5521446688 1175658358662893.8 -498110693156.12854 640463746.4093288
826249.9842009998 1190928639095578.5 -486848074609.93884 631126771.846777
832330.8674054029 1183252249060078.5 -475214525899.8964 622012740.7294424
838324.3795884289 1196302989362022.5 -463856659111.55334 613122368.4369367
844232.6845429472 1186917195766360.0 -452154356147.0435 604456161.2579219
850057.9699274898 1204834719868076.2 -440808154277.52374 596014464.447335
855802.4062369505 1193010416022148.0 -428999375178.5845 587798081.7336656
861468.1967316892 1203753237985801.2 -417524396090.7983 579807587.1264545
867057.5230491658 1180216708771149.5 -405612435986.3204 572042878.7451046
872572.5864720528 1174448581415218.8 -394101377693.4219 564502751.3631968
878015.54524218 1131089361302724.8 -382281448664.0985 557184444.3464925
883388.5470533022 1109632482800915.2 -371094942270.8344 550083329.6715508
888693.6603089208 1053545340407392.6 -359780576226.69147 543193301.3619832
893932.9141747152 1021791405202001.9 -349246762600.88934 536507054.4122304
899108.2352507802 954120926800781.2 -338672547089.8438 530016313.7863483
904221.4920693402 914518453973826.5 -329027560382.0499 523711713.2445458
909274.4294147886 841340560673418.4 -319441071682.69586 517583147.17847264
914268.7196511641 802805212450283.5 -310901078110.04486 511619991.155813
919205.9013233605 727842923742929.2 -302381548546.40466 505811721.272326
924087.4425073486 689023402143083.2 -294940394300.1859 500147645.5254676
928914.6741968618 612572868904012.6 -287510775620.8718 494617045.14224654
933688.8563970475 572363475126085.6 -281174931814.6306 489209061.15015095
938411.1093092886 495981468922211.5 -274878268631.9693 483912703.6442784
943082.4796047469 458525900289776.6 -269700778458.5696 478716989.1752907
947703.874276134 388743703981754.06 -264573069308.08948 473611193.7169197
952276.1318218126 355120319280476.44 -260473613707.37848 468585214.9755268
956799.9631306531 293246034714756.7 -256426302943.8245 463629311.6669307
961276.0176050253 269060810293329.16 -253345344725.30728 458734487.46882534
965704.831498868 215670819314843.72 -250215667298.62836 453892635.1772732
970086.8968390189 204881730565770.3 -248017668535.6439 449096446.84804857
974422.6080189658 166483667542986.84 -245656417531.27438 444339876.5148891
978712.3397023764 171293037523929.97 -244087221866.19803 439618290.5205126
982956.3963350466 145699761888370.84 -242176261659.2761 434928524.65462196
987155.0911575839 160371850876060.7 -240904519277.08264 430268620.977139
991308.6906086162 146422568081222.66 -239212574599.35483 425637550.66174984
995417.4879573663 171813785428316.44 -238037855588.49777 421035381.8001421
999481.7509642454 163445642049489.72 -236289026579.35516 416463192.275492
1003501.7938221436 192661238442138.34 -234986202265.64728 411922585.7401317
1007477.915421272 183430960969322.3 -233026662027.2352 407415526.1205945
1011410.4680778969 206816256678698.25 -231473273715.51306 402943896.1263935
1015299.7872290354 194367746346621.56 -229345110321.05768 398509029.22574073
1019146.2510759899 215980447054388.9 -227668365947.79846 394111955.71442246
1022950.2150556878 199819915501085.4 -225415227243.56018 389753538.9015743
1026712.0741278273 219458447636016.56 -223666403528.42477 385434292.40675735
1030432.1936996228 200357714951869.38 -221350970356.48746 381154543.8737188
1034110.975090932 219865084292161.38 -219595653756.13162 376914343.9656555
1037748.7846924339 204139811069320.12 -217309035701.688 372713730.9896218
1041346.0245675955 227114350253903.38 -215550662456.27112 368553061.2365714
1044903.0680233494 213356419349045.22 -213212778543.19016 364433017.6208997
1048420.3303797696 237325595083030.44 -211374603606.3944 360354468.3897511
1051898.2017980404 220934246328645.9 -208912050594.39352 356318375.4896354
1055337.1162713622 241376704436527.53 -206966095982.5319 352325452.7869161
1058737.47781836 221690243090030.2 -204432241224.95715 348376081.9148385
1062099.7278404278 241596209779162.1 -202473741843.271 344470334.09179527
1065424.2717386687 213095723016970.66 -199852208478.0197 340608229.99620557
1068711.551315882 232067692272575.25 -197968061415.1542 336788959.98451215
1071961.9562565214 203525609732537.62 -195438607228.06888 333011626.42627835
1075175.9109387514 222413442148805.44 -193646530168.55975 329275327.77255243
1078353.7875463252 196516895569938.22 -191236456558.94293 325579154.5483032
1081495.9928028479 218895482402131.25 -189546286362.9722 321922446.50022775
1084602.8860753584 195791714753468.7 -187197464194.83243 318304872.22024053
1087674.8676542297 224425507211378.88 -185575044979.14246 314726363.39295334
1090712.2955803755 204939062417737.44 -183207658304.08405 311187440.9722901
1093715.580256829 239008476131942.16 -181549213417.79095 307688966.6807251
1096685.0964521 226839158693251.2 -179111305161.62567 304232314.3014048
1099621.2812368441 264106852172256.06 -177271342187.1639 300819546.92472875
1102524.5494278974 254413699227776.12 -174613864853.99915 297453028.93384826
1105395.3839928806 292761750866434.2 -172516751814.49896 294135357.9780671
1108234.2501737138 280472538724310.22 -169555955596.42966 290869233.4814264
1111041.683338734 318263038808570.3 -167200506345.88593 287657110.3071792
1113818.1963832094 302825959753069.6 -163961644100.7039 284501390.79464215
1116564.37130924 335001110996570.5 -161334732576.325 281404180.7395041
1119280.7618894074 314593127301127.94 -157885165025.2008 278367056.94561076
1121967.980734434 340408966581558.25 -155082319579.96136 275391127.9345912
1124626.6031353164 314283100241560.9 -151524766650.44034 272476903.15146303
1127257.251592029 337017058856219.1 -148695017852.42252 269624353.390243
1129860.500828627 308495881806311.25 -145147137800.64783 266833159.117529
1132436.9671423624 331256335487511.7 -142373816364.0798 264102775.15056762
1134987.2146743042 301953592722026.7 -138874263552.47037 261432658.8025629
1137511.8491871692 320904912529013.3 -136127469865.64017 258822193.75961244
1140011.4228582564 289433604735908.5 -132707339110.52797 256270404.86977834
1142486.5225208143 307432140611645.06 -130072815628.27158 253776112.692263
1144937.6774570572 272919558446427.84 -126753932016.16693 251338048.0296144
1147365.4498628094 287013332568758.94 -124241793074.4977 248954655.18226278
1149770.338821335 250654632649932.53 -121103174263.4895 246624010.60401422
1152152.869188938 265200098537869.0 -118811520694.83496 244344016.8358403
1154513.4993333989 227859493431567.38 -115875088820.20952 242112618.9701672
1156852.714221539 243335307009348.16 -113813712616.41428 239927669.5994091
1159170.9305360627 204518694169602.25 -111075172377.2045 237787108.95903715
1161468.5932600263 219912990630869.88 -109239548598.28987 235688738.23776463
1163746.0763932194 179984678622367.78 -106717553130.49013 233630350.9450153
1166003.7820867146 195913754458007.78 -105125244738.83199 231609635.86300763
1168242.0394753725 155128436749727.25 -102827865603.29903 229624332.15265122
1170461.2068232787 174751153069158.53 -101512659709.10622 227672098.24095365
1172661.5678111154 135512100618545.16 -99435690716.9162 225750940.5129463
1174843.442003286 157068509106348.44 -98329647389.07887 223859011.0190022
1177007.0772084189 119780773924598.17 -96443243794.83568 221994643.9722436
1179152.760654973 143288460208047.44 -95508826178.25813 220156357.40890834
1181280.7113839728 108672282011975.83 -93782100337.53223 218342853.18463087
1183391.1914245405 134776855928414.08 -92980705857.56473 216553084.8280749
1185484.3995037938 100360430645211.17 -91338531637.91554 214786250.50673464
1187560.582085832 129190706906381.11 -90644266625.63762 213041567.2057529
1189619.9226980344 96746410072818.36 -89075452342.7381 211318508.6840452
1191662.6575892065 125344190249644.45 -88414008092.00798 209616734.48415175
1193688.9636778305 94323414500920.92 -86896344304.28918 207935882.24640596
1195699.0701786538 124717657119643.77 -86275853719.79936 206275723.71341398
1197693.1495792689 95383493549423.4 -84780641104.88367 204636199.86285615
1199671.4299486924 128135892959888.17 -84172749542.00815 203017410.55908352
1201634.0857130652 98078783038588.56 -82637342998.66953 201419677.81572825
1203581.3511922727 131396488915569.31 -82008778019.0731 199843255.54153112
1205513.4057412848 101706203511379.31 -80445284799.83673 198288450.89971772
1207430.4896425821 134771199089069.6 -79779059632.574 196755605.6100804
1209332.7888845354 103673408756875.73 -78169150679.22527 195245037.58593205
1211220.5499208996 136044010613779.86 -77477092280.44705 193756932.14710897
1213093.9623374392 104295325875450.58 -75848512016.61801 192291409.1983459
1214953.2749154775 137707465296058.05 -75160526414.76935 190848527.327113
1216798.6783780684 106574710052982.02 -73521778969.09547 189428443.23853803
1218630.4245484658 141003316357327.97 -72821535609.69547 188031371.66115704
1220448.7083179937 110357724051904.84 -71155527298.84984 186657623.07938963
1222253.7875369717 146169021160947.34 -70431986626.21248 185307553.87065828
1224045.8640146563 115914088795361.8 -68719632174.91943 183981650.66825688
1225825.2050478016 151165570926761.16 -67936728431.90222 182680436.9074532
1227592.0226064918 119753540331220.89 -66164647246.64341 181404383.28635386
1229346.5931245852 153951798342498.53 -65334255649.67868 180153851.4990584
1231089.1355933044 117681807127262.39 -63487980687.74906 178929104.02108097
1232819.9315416333 149569150216700.1 -62655267615.31392 177729945.68556798
