0.0 0.04567130882525078 131
266797.9676294884 -3137400457.035301 -56312798.57065659 -2039826.2187821993
262472.563815291 -2434583368.973054 -63985563.451005325 -2302426.1074242303
257597.46064300512 -1940593744.0640948 -69836860.09061402 -2587269.437073801
252133.8213666387 -1176812601.1990924 -75240208.31556566 -2889578.5378114223
246050.68941790474 -531795616.9106912 -78880228.6783105 -3204332.370318317
239329.29215066764 460978380.7487871 -81926322.82765804 -3525906.9918460324
231961.1463018127 1577451875.2729924 -83236003.81034403 -3847764.3168172976
223953.6054499888 2336051703.1782823 -81599935.23936088 -4161484.1983637796
215331.83328380715 3220733430.0958037 -78700094.1622681 -4459581.316331172
206133.09476111518 3850402588.167903 -73523140.8476078 -4735495.66669493
196408.76738154053 4512476546.169921 -67152851.75505923 -4983181.938552003
186220.27319749256 4884679973.63585 -58880575.03969514 -5197483.474471841
175639.59573915237 5294054028.744395 -49938901.89820067 -5374271.423989786
164744.65596737366 5409896389.2772455 -39592821.19721935 -5510425.718353066
153619.9052236891 5674923795.408588 -29313359.269779846 -5603849.685941208
142351.6427799132 5532884034.843702 -17691050.596272405 -5653022.889069738
131030.39565466267 5494337230.97564 -6559316.945627751 -5657454.359257047
119744.42503241902 5171163723.742289 5064084.999447374 -5617865.000712149
108581.37719474094 4987363802.832948 15763316.619978698 -5535698.806212547
97623.74312328128 4665180756.03266 26371805.363124464 -5412979.62110552
86951.08180281306 4112520944.2255 36797064.71105767 -5251727.336805816
76637.81271813923 1481676695.3251054 50270326.32230008 -5055434.338812756
66749.53926297942 -155710382.6123552 56502224.04633239 -4836809.221943285
57309.89730957045 20955460772.43124 14010938.107335657 -4612890.828141227
48316.402948486604 -5549498797.319372 108836984.32259871 -4305939.526273682
40103.340031962296 577923900.8963636 85506464.0827 -3937487.3986574556
32582.182334968013 1949703778.1237156 83920337.72821164 -3588881.870811829
25762.148964159926 2199533767.611758 87316690.08410467 -3230186.016266962
19674.341812106533 2141848032.275115 91826620.66122453 -2854926.344694519
14353.84808728958 2103836421.0648003 96181986.03316616 -2462335.8134189183
9834.834788893959 1922594118.5224407 100747579.40735577 -2052796.4476485408
6150.862550634327 1947786929.3922355 104538592.27220929 -1627183.5122169722
3332.6008087594687 1728417665.0610092 108868576.11769451 -1186119.9589795445
1411.1208780526981 1356605314.5428941 113064841.28104255 -730380.9431812558
413.994670275797 852053502.7271503 116783438.17517057 -262326.47048351495
362.8629050213097 -60154198367.651405 240376497.01907223 214545.00054766916
1271.317634990678 0.0 0.0 454681.44109175284
