0.0 0.0006932016959655698 129
4195093.483425458 1.7674897911327086e+16 -7805841209988.832 11501587614.264576
4256676.404847762 2.3718933912418656e+16 -7743340952611.308 11419226945.504368
4317819.4909485495 3.414774909777802e+16 -7671924418958.549 11338061572.681562
4378530.10269497 3.401631263925295e+16 -7487719848695.295 11258567168.89124
4438818.837547273 4.010162570336285e+16 -7337628249660.358 11181041083.144487
4498696.252175535 3.6351136251269464e+16 -7101982043478.234 11105655240.682459
4558174.791774405 3.995171746903725e+16 -6925991808648.562 11032477062.303257
4617265.737606386 3.405076770709214e+16 -6679595322686.925 10961502219.229
4675981.488343395 3.69918523418962e+16 -6512422570231.839 10892664285.592493
4734332.611348344 3.023111410833239e+16 -6277311174961.984 10825877791.78134
4792330.586724463 3.3255353205607868e+16 -6131110772639.812 10761032440.77234
4849984.796438017 2.7730029035406836e+16 -5922716731340.117 10698020336.725922
4907305.561001867 3.248408302531167e+16 -5799251732363.111 10636769257.847317
4964301.4861920355 2.7436584516182516e+16 -5597569903122.923 10577256932.796267
5020982.653164316 3.1799784118601188e+16 -5473581456969.129 10519474888.014605
5077357.576626748 2.682734645690677e+16 -5275980166251.771 10463403363.560635
5133436.125368844 3.2199096528144412e+16 -5160685160030.405 10409024766.963573
5189226.625026853 2.7479394038359996e+16 -4962296213579.309 10356350628.842356
5244739.068313458 3.5103207913332864e+16 -4855599145023.917 10305399777.843435
5299981.9832222685 2.7613108977520988e+16 -4626717342352.858 10256256073.62386
5354966.263731958 3.2810349145920828e+16 -4506262161926.199 10208923377.36092
5409700.4793334175 2.322593166172893e+16 -4278447246204.878 10163335480.041128
5464194.812436324 2.7748043801499828e+16 -4177939343773.415 10119365696.721552
5518456.471008816 1.749521137827517e+16 -3973735686043.1133 10076867847.337543
5572494.066417646 2.2555901485708412e+16 -3906916839271.726 10035676450.551153
5626313.0281512 1.0816813670587878e+16 -3722627345113.1216 9995641577.10135
5679920.356239516 1.5854175355263e+16 -3691570555047.657 9956570380.341745
5733319.407587688 4897112885485016.0 -3547496171084.4854 9918269339.990107
5786515.102402686 1.1847538545854328e+16 -3558529968742.0957 9880567517.672586
5839508.960461377 2466141910097462.5 -3444452961986.749 9843349217.004248
5892304.658545457 1.1478514206560146e+16 -3479630155832.057 9806544240.817951
5944902.962000856 3162232320339030.0 -3373259719996.8667 9770141933.098677
5997307.433085741 1.361553086956666e+16 -3412439405851.5454 9734162394.281746
6049519.053171715 4031556505621998.5 -3287773232414.0674 9698667333.25525
6101542.047721685 1.530508078731198e+16 -3326689080045.7017 9663681852.785019
6153377.667894541 5074469660253149.0 -3189469041730.7627 9629254740.626707
6205030.663490475 1.6343345523447276e+16 -3222755653245.492 9595416112.133295
6256502.609327504 4842087288530396.0 -3073128315657.628 9562195948.42918
6307798.577422354 1.6424298078892238e+16 -3109347424513.9004 9529587539.198057
6358920.07047517 4707317187158687.0 -2958125856226.3867 9497593222.040876
6409872.185625607 1.7167344730348162e+16 -2999786259072.1777 9466209105.311283
6460656.38374907 2789830589487766.0 -2830275021331.7563 9435456645.361702
6511277.992583349 1.4191525931900352e+16 -2876552224836.736 9405280472.494781
6561737.877928376 -1082579411545000.4 -2718214042102.62 9375594656.416962
6612040.44400217 1.0779674048177314e+16 -2787775128152.015 9346287376.701418
6662185.354835523 -4025030337616557.5 -2650293465201.2314 9317260112.082642
6712175.955807567 8999175029915569.0 -2741910202454.7295 9288427895.803923
6762010.997784751 -5217667986988500.0 -2617155294829.605 9259739313.846573
