-1502640.7257701748 0.0 89
915150.5444116981 -2.6512822228869354e-11 1.2291222615098043e-06 -0.9731403341551172
898943.1972536312 -2.2559302193347097e-10 6.233109831029126e-06 -0.9543092308593373
883522.0760645043 -3.3756113178711626e-10 8.837273499770754e-06 -0.9367545014299147
868600.7974571936 -3.414107005255006e-10 8.59761379233526e-06 -0.9270160064414592
853757.0961811907 2.56270077209048e-11 -9.27275402215627e-07 -0.9286621793172251
837936.9435169672 2.2664726126086819e-10 -5.954587921571297e-06 -0.9380582775500925
821492.5498913991 2.5423088207386417e-10 -6.4655325278805095e-06 -0.9453065479528862
804912.8852045377 8.243997274317166e-11 -1.9748470249735653e-06 -0.9462193549585403
788771.1154396059 1.640806180552951e-11 -1.9378105438844382e-07 -0.9424043793212261
772883.6632342252 -5.407599895387077e-11 1.6787972861618428e-06 -0.9349161713897912
757317.2049535813 -3.2257908705009546e-11 1.0940210596598265e-06 -0.9244719510231246
741865.394267723 -9.78862562877391e-11 2.5818923211686453e-06 -0.9151158533816938
726679.8205760233 -1.1022123938300309e-10 2.7182230073222713e-06 -0.9116417754179067
711532.3982468651 -1.2633653221646602e-10 3.0268918594511056e-06 -0.9141126764192686
696353.6868769019 -5.871527313647862e-11 1.2325101516940867e-06 -0.9199419785471152
680890.5022985566 4.4630809259272926e-11 -1.3811101669760526e-06 -0.9285349882086341
665034.5897201616 1.1904732936798683e-10 -3.2379298466988653e-06 -0.9370043719418208
648864.5355727659 9.838914118281259e-11 -2.6191748771979775e-06 -0.944534727890137
632644.2985557785 7.12236241417859e-11 -1.8123296327642777e-06 -0.9488376824733941
616450.6668082583 1.800113604761266e-11 -3.770393195506028e-07 -0.9491268132024374
600405.1439181574 -1.311367733881933e-12 1.3633982339073038e-07 -0.9464643786437296
584457.9676488905 -2.7273330895764092e-11 7.817988013990915e-07 -0.9429820035689347
568628.6293666468 -2.2412373956094236e-11 6.326494923215622e-07 -0.9399061271313133
552832.1017327728 -1.8472403474685078e-11 5.093919232481239e-07 -0.9377096704527407
537056.4850708726 2.205510123419821e-11 -4.962255281934336e-07 -0.9363059401286221
521212.96078502416 8.375163466825387e-11 -1.9694441953562587e-06 -0.9342012688037802
505281.9524649586 7.20708421845684e-11 -1.6200727442564026e-06 -0.9290821631079912
489480.7465388257 3.4240847176275886e-11 -6.33840516694589e-07 -0.9221548016803304
